circuit_id,layer,entcap,expr
7.0,4.0,0.634042186015829,0.03292663336782908
7.0,5.0,0.6862776922006051,0.02484890725835293
7.0,6.0,0.7297871286274977,0.024018672436961912
7.0,7.0,0.7626137607195874,0.013441586897870937
7.0,8.0,0.7885869728406805,0.011840881246576366
7.0,9.0,0.8128470993534701,0.009808235916683969
7.0,10.0,0.831590780813885,0.007597361879306322
7.0,11.0,0.8486005481598554,0.005787036574655533
7.0,12.0,0.8623125407447074,0.0076809799138023264
7.0,13.0,0.8737696386773706,0.0047292046203039825
7.0,14.0,0.8848702358721496,0.006373531700842386
7.0,15.0,0.8935489733063828,0.006395043903630819
7.0,16.0,0.9015384901896965,0.005417208504832598
8.0,1.0,0.3232426838655259,0.1310269002902721
8.0,2.0,0.5124275192935497,0.06517270512417207
8.0,3.0,0.6239646322958827,0.0447460916979859
8.0,4.0,0.6949808289489058,0.023768052589191093
8.0,5.0,0.7423511061053528,0.012318760233828652
8.0,6.0,0.7846863714992077,0.012770462320874552
8.0,7.0,0.813017689587032,0.007618722726596772
8.0,8.0,0.8382392537992314,0.006920479242399626
8.0,9.0,0.8569210994147924,0.006673007859820651
8.0,10.0,0.8734555918516554,0.004668724759591707
8.0,11.0,0.8872275587764663,0.00536974889672522
8.0,12.0,0.8982921818832135,0.003268360200529576
8.0,13.0,0.9069103023841041,0.005492212442605413
8.0,14.0,0.9147719538665743,0.005064000757709004
8.0,15.0,0.9218463306250914,0.004656015333868084
8.0,16.0,0.927084525667947,0.00408390117170164
9.0,1.0,0.9999999999999999,0.534132223116892
9.0,2.0,0.9999999999999997,0.10936016779279271
9.0,3.0,0.9999999999999994,0.026988317324131858
9.0,4.0,0.9883858910595857,0.006413249242123144
9.0,5.0,0.9786219215428636,0.00402553468375982
9.0,6.0,0.9277190137876032,0.0053253785319111804
9.0,7.0,0.935568436907559,0.004648728054783094
9.0,8.0,0.9508360106827839,0.004095462119408659
9.0,9.0,0.9533354647702835,0.0046650303840776106
9.0,10.0,0.9538807284330042,0.004152301486638935
9.0,11.0,0.954511779038004,0.004984482020626756
9.0,12.0,0.9540891319860275,0.004298614461255665
9.0,13.0,0.9533729405509243,0.005281923335737965
9.0,14.0,0.9536490803939666,0.004436697226557604
9.0,15.0,0.9538169123997997,0.003662745798512346
9.0,16.0,0.9537137997357649,0.004732986328963162
10.0,1.0,0.37670109397046864,0.2894480287325519
10.0,2.0,0.5759478227480016,0.15455016566475951
10.0,3.0,0.6955335027717422,0.13419640719788856
10.0,4.0,0.7737409715041264,0.09640692004776348
10.0,5.0,0.8241949389699976,0.08028753059023735
10.0,6.0,0.8581294406233682,0.08876219902040251
10.0,7.0,0.882361516444626,0.08557518953525506
10.0,8.0,0.8985871303355105,0.0841311002364391
10.0,9.0,0.9102483602561849,0.07412214843108038
10.0,10.0,0.9169557883817512,0.07775844729853694
10.0,11.0,0.9224386989176101,0.07435526164883231
10.0,12.0,0.9264965730288882,0.08546584553059014
10.0,13.0,0.9294595156834189,0.07949617094139316
10.0,14.0,0.9312331652905124,0.07673376186441938
10.0,15.0,0.9328106114800903,0.07747915749799114
10.0,16.0,0.9334505911171264,0.07605460699130132
11.0,1.0,0.6193438829489623,0.19101544313067714
11.0,2.0,0.800821117965815,0.03771465193209481
11.0,3.0,0.8811960261387352,0.009760690824536507
11.0,4.0,0.9165202548891469,0.005674475423758237
11.0,5.0,0.9355083330136617,0.004662201822802478
11.0,6.0,0.9448778073589811,0.004617195380193891
11.0,7.0,0.9495724191163732,0.004483511298392637
11.0,8.0,0.9517181761799904,0.004075797151076416
11.0,9.0,0.9527095249989823,0.005065883316772624
11.0,10.0,0.952974281895557,0.005411979150256716
11.0,11.0,0.953913413375235,0.004934364848919228
11.0,12.0,0.95387182090391,0.004950529487185677
11.0,13.0,0.9537792426267475,0.00446420456765928
11.0,14.0,0.9537034736655253,0.004386160563666452
11.0,15.0,0.9536568097819547,0.004199749642016019
11.0,16.0,0.9537420157362337,0.005011458050603076
12.0,1.0,0.4521304341138842,0.21128673534957287
12.0,2.0,0.6444672809049293,0.05886013219296394
12.0,3.0,0.7361043248959814,0.025005053226448182
12.0,4.0,0.8000304934984737,0.012633805569583354
12.0,5.0,0.8402381001730455,0.010431298867450794
12.0,6.0,0.8706149975322465,0.005401914915795791
12.0,7.0,0.892182753557071,0.006420653324407803
12.0,8.0,0.9079591951201416,0.005758273607115153
12.0,9.0,0.9197079054381504,0.005637480094821433
12.0,10.0,0.9281339448486856,0.006100241957963052
12.0,11.0,0.9345045801188474,0.005290737028118715
12.0,12.0,0.9399671960350553,0.004997454780674668
12.0,13.0,0.9432699997413548,0.004712571236624013
12.0,14.0,0.9457514660899212,0.005161301609989476
12.0,15.0,0.9477890702926739,0.004671652156909156
12.0,16.0,0.9490499484088424,0.004774908199619827
13.0,1.0,0.21908327384838372,0.31596777972303214
13.0,2.0,0.40736026559596356,0.1279823707799218
13.0,3.0,0.5346274977937931,0.07254642657628935
13.0,4.0,0.6303030667405479,0.03608502222605454
13.0,5.0,0.7030696952773154,0.024525137843842075
13.0,6.0,0.7555627226693955,0.014307416079324082
13.0,7.0,0.7946283422591478,0.010537904140468955
13.0,8.0,0.8253389689463742,0.006381071728716473
13.0,9.0,0.8514003108082638,0.006984170909287007
13.0,10.0,0.8695429779822574,0.0046388092328978735
13.0,11.0,0.8864624598050794,0.005570689020262316
13.0,12.0,0.9003617574217242,0.005483535198483959
13.0,13.0,0.9102001991336294,0.004530106252053919
13.0,14.0,0.9187971479023908,0.004894449697858333
13.0,15.0,0.9257286825010612,0.004371064236961047
13.0,16.0,0.9304445426600694,0.005063093846253412
14.0,1.0,0.34161276532293344,0.1646804309140205
14.0,2.0,0.5539906567219193,0.052201912084364505
14.0,3.0,0.6833815076927894,0.018458652004082816
14.0,4.0,0.7621019681580368,0.014211703157841704
14.0,5.0,0.8174581292832576,0.005763685906748701
14.0,6.0,0.8554737880686016,0.00887896157867007
14.0,7.0,0.8815319111864566,0.004918013233134815
14.0,8.0,0.9016468690277347,0.005280426741701677
14.0,9.0,0.9171151761792551,0.0040127546904812775
14.0,10.0,0.9277067362418405,0.0038620868356132186
14.0,11.0,0.9349153025471334,0.004920425918289199
14.0,12.0,0.9403580446424838,0.005177328738164645
14.0,13.0,0.9437531786042912,0.0034718302536204614
14.0,14.0,0.947273051527854,0.005068933549594579
14.0,15.0,0.9490493340684826,0.005157456602693352
14.0,16.0,0.9503154825148405,0.004500275464698335
15.0,1.0,0.6863054460473084,0.6360831744911651
15.0,2.0,0.7461890172348719,0.2027642123907013
15.0,3.0,0.8737943243817837,0.08285638502405707
15.0,4.0,0.8923953358401967,0.06293863589950943
15.0,5.0,0.9210209653466715,0.04860812492855244
15.0,6.0,0.9277982733802599,0.05686086890630096
15.0,7.0,0.9353274986238828,0.052006316164806124
15.0,8.0,0.9362370886272694,0.05347778226254386
15.0,9.0,0.9390842235365574,0.05552667239268148
15.0,10.0,0.9386676307181695,0.05492941049976334
15.0,11.0,0.9391471736411185,0.05493281660712605
15.0,12.0,0.9393255049370235,0.0543833796343191
15.0,13.0,0.9394413260122664,0.05359847374640566
15.0,14.0,0.938935293775511,0.05637757341877372
15.0,15.0,0.9392432601358552,0.053062611912981034
15.0,16.0,0.9394232107799679,0.054348634723864
16.0,1.0,0.18822558043781543,0.33755184152912576
16.0,2.0,0.3620107256684214,0.1350962797216486
16.0,3.0,0.4771583358251947,0.0870716336144039
16.0,4.0,0.5626468388702649,0.06815745855043294
16.0,5.0,0.6210098566386656,0.04901689504627954
16.0,6.0,0.6663187959578721,0.036112561034675715
16.0,7.0,0.6987593874345851,0.02537646521092839
16.0,8.0,0.7291372022745012,0.023817681560397177
16.0,9.0,0.7541617677501059,0.0144922297094815
16.0,10.0,0.7751253443515169,0.012392952430337948
16.0,11.0,0.7946998831326891,0.010399166218679439
16.0,12.0,0.8083000946771356,0.008523818325361898
16.0,13.0,0.8255257717597111,0.007506911408700346
16.0,14.0,0.8379030544123192,0.006568349671071248
16.0,15.0,0.847899929524117,0.004869947101221856
16.0,16.0,0.8580780239696606,0.0065442674908372765
