,circuit_id,layer,expr,entcap
98,7.0,8.0,0.007309548916201034,0.7882923185147286
99,8.0,1.0,0.13567392163696818,0.3307801467362762
100,6.0,12.0,0.005767086646000458,0.9536526643575742
101,6.0,13.0,0.004427367385590626,0.9542813546175795
102,7.0,9.0,0.007210334141428739,0.8158764815928902
103,8.0,2.0,0.05355264003357642,0.519405909270273
104,7.0,10.0,0.005480069474661672,0.8298113168142743
105,6.0,14.0,0.0025882905052487786,0.9545183350274706
106,8.0,3.0,0.05234964663059456,0.6281190149591208
107,7.0,11.0,0.003161365558716203,0.8456940033924562
108,7.0,12.0,0.005912862216533728,0.8635331612446634
109,8.0,4.0,0.0238608466071595,0.6964245039421505
110,6.0,15.0,0.006542679231641542,0.9544408646293155
111,8.0,5.0,0.00818786410696494,0.7454086898609962
