,layer,expr,ent,acc
111,8.0,0.02349363243895468,0.7064809835655139,1.0
112,7.0,0.021697283810724437,0.6814934432431766,0.9375
113,7.0,0.02191995102707256,0.6794389532290057,0.96875
114,7.0,0.017850499026285337,0.6714364086456043,1.0
115,7.0,0.0228010744461235,0.6733186804285253,0.9375
116,8.0,0.02264848974024431,0.7011999746803426,0.875
117,8.0,0.011694837338671103,0.7040073564199584,0.90625
118,8.0,0.02349363243895468,0.7064809835655139,0.90625
119,8.0,0.01677221540873054,0.7086810741386839,0.96875
120,8.0,0.017043209838821856,0.7083910032881373,0.90625
121,8.0,0.019263531305970992,0.698924621171548,0.9375
122,8.0,0.017955405393688582,0.7121591358756963,0.96875
123,8.0,0.021445775287530413,0.7027010267454554,0.96875
124,8.0,0.02264848974024431,0.7011999746803426,0.75
125,8.0,0.011694837338671103,0.7040073564199584,0.9375
126,8.0,0.02349363243895468,0.7064809835655139,0.96875
127,8.0,0.01677221540873054,0.7086810741386839,0.8125
