[2021-10-31 01:15:48,594] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=1/0 | Process 139372 start (00:00:00)
[2021-10-31 01:16:04,859] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | Optimizing... 30/1024
[2021-10-31 01:16:06,073] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Optimizing... 40/1024
[2021-10-31 01:16:10,051] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Optimizing... 40/1024
[2021-10-31 01:16:22,060] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Optimizing... 40/1024
[2021-10-31 01:16:25,262] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Optimizing... 40/1024
[2021-10-31 01:16:43,682] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Optimizing... 40/1024
[2021-10-31 01:16:45,237] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=3/0 | Optimizing... 40/1024
[2021-10-31 01:16:57,449] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | Optimizing... 40/1024
[2021-10-31 01:17:00,029] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=1/0 | NQSVM object: expr=0.2787815398992761, entcap=0.19193196549631675 (00:01:11) / Start Optimization...
