,Unnamed: 0,Size,Error,Amp,Bias
172,172,16,0.0039810717055349,0.0721819759913258,0.0473958333333333
173,173,16,0.0054116952654646,0.0325044805141108,0.0788802083333333
174,174,16,0.0073564225445964,0.0099710474665434,0.1294270833333333
175,175,16,0.01,0.0136143655440925,0.0990104166666666
176,176,32,0.0001,0.4518741689963963,-0.1114388020833333
177,177,32,0.0001359356390878,0.4480140358023323,0.0604557291666666
178,178,32,0.0001847849797422,0.4247978790887253,-0.0053776041666666
179,179,32,0.0002511886431509,0.397194992239468,-0.0172200520833333
180,180,32,0.0003414548873833,0.3756450450912599,0.0153971354166666
181,181,32,0.0004641588833612,0.3488035899783958,-0.0806640625
182,182,32,0.0006309573444801,0.2997199374722748,-0.05306640625
183,183,32,0.0008576958985908,0.2453320228679733,-0.0055013020833333
184,184,32,0.0011659144011798,0.188031605969739,0.0186197916666666
185,185,32,0.0015848931924611,0.1354612473817793,0.0104231770833333
186,186,32,0.0021544346900318,0.1009021950060603,0.0936653645833333
187,187,32,0.0029286445646252,0.0396054154050351,0.1851432291666666
188,188,32,0.0039810717055349,0.0162261502233961,0.1591666666666666
189,189,32,0.0054116952654646,0.0174321731259857,0.1461002604166666
190,190,32,0.0073564225445964,0.0087977365007746,0.1564778645833333
191,191,32,0.01,0.0071689042347663,0.1022786458333333
192,192,4,0.0001,0.4839126872266431,-0.0289388020833333
193,193,4,0.0001359356390878,0.4869915204691812,-0.0255859374999999
194,194,4,0.0001847849797422,0.4773600817023861,0.0070247395833333
195,195,4,0.0002511886431509,0.4550331832220436,0.0066796875
196,196,4,0.0003414548873833,0.4539797257180159,0.0218359375
197,197,4,0.0004641588833612,0.4407430279511908,0.0060416666666666
198,198,4,0.0006309573444801,0.4369459284100636,-0.0221093749999999
199,199,4,0.0008576958985908,0.417106837430762,-0.0023502604166666
200,200,4,0.0011659144011798,0.3775548330388468,0.002109375
201,201,4,0.0015848931924611,0.3583847337014156,-0.0115364583333333
202,202,4,0.0021544346900318,0.2993939083898307,-0.0098437499999999
203,203,4,0.0029286445646252,0.2674328411107545,-0.0087955729166666
204,204,4,0.0039810717055349,0.2143688053362624,0.0054036458333333
205,205,4,0.0054116952654646,0.1492973972262521,-0.0336197916666666
206,206,4,0.0073564225445964,0.1059257085201962,-0.0777148437499999
207,207,4,0.01,0.0336973492873976,-0.0032421875
208,208,8,0.0001,0.4851306569117908,-0.0227994791666666
209,209,8,0.0001359356390878,0.4758026941088462,-0.0196354166666666
210,210,8,0.0001847849797422,0.4799690867750507,0.0068619791666666
211,211,8,0.0002511886431509,0.4508669368868399,-0.0328255208333333
212,212,8,0.0003414548873833,0.4456578057276374,-0.03884765625
213,213,8,0.0004641588833612,0.4259975505979581,-0.0103580729166666
214,214,8,0.0006309573444801,0.4246862373971335,-0.0259440104166666
215,215,8,0.0008576958985908,0.3769255137108352,0.0011783854166666
216,216,8,0.0011659144011798,0.3580718719724613,0.0175911458333333
217,217,8,0.0015848931924611,0.310418379592205,-0.0205598958333333
218,218,8,0.0021544346900318,0.2693014096865454,-0.0264648437499999
219,219,8,0.0029286445646252,0.2023455792534612,0.0287825520833333
220,220,8,0.0039810717055349,0.150993397289047,-0.0063606770833333
221,221,8,0.0054116952654646,0.0946087109150841,-0.0019531249999999
222,222,8,0.0073564225445964,0.0363588319904915,0.0836263020833333
223,223,8,0.01,0.0229320963865909,0.0417382812499999
224,224,16,0.0001,0.4866054774473361,-0.0246809895833333
225,225,16,0.0001359356390878,0.4632951715791852,-0.0026302083333333
226,226,16,0.0001847849797422,0.4358128223552152,-0.0219401041666666
227,227,16,0.0002511886431509,0.4243709081574541,-0.0118098958333333
228,228,16,0.0003414548873833,0.4284101357399389,-0.0383463541666666
229,229,16,0.0004641588833612,0.399109853858673,-0.0275585937499999
230,230,16,0.0006309573444801,0.3633070254284319,-0.0593229166666666
231,231,16,0.0008576958985908,0.3296228712354623,-0.0082942708333333
232,232,16,0.0011659144011798,0.2883188091478434,-0.1092643229166666
233,233,16,0.0015848931924611,0.2436521024228541,-0.0352083333333333
234,234,16,0.0021544346900318,0.1621097319154375,-0.0801302083333333
235,235,16,0.0029286445646252,0.1251486172849765,0.0310546875
236,236,16,0.0039810717055349,0.0624350398410555,0.1317903645833333
237,237,16,0.0054116952654646,0.049548752176816,0.0885546875
238,238,16,0.0073564225445964,0.002313733428697,0.1171158854166666
239,239,16,0.01,0.0209682073089,0.1145638020833333
240,240,32,0.0001,0.4432378353775512,0.0046744791666666
241,241,32,0.0001359356390878,0.4344087122376805,-0.0267643229166666
242,242,32,0.0001847849797422,0.4246921099003823,-0.0472981770833333
243,243,32,0.0002511886431509,0.3997056809961162,-0.0216666666666666
244,244,32,0.0003414548873833,0.3690891384921412,0.0252213541666666
245,245,32,0.0004641588833612,0.3538254728099617,-0.0125911458333333
246,246,32,0.0006309573444801,0.2963219810368274,-0.0181445312499999
247,247,32,0.0008576958985908,0.2433952202484186,0.011875
248,248,32,0.0011659144011798,0.2028152502856856,0.0066341145833333
249,249,32,0.0015848931924611,0.1323056246762932,0.0843359375
250,250,32,0.0021544346900318,0.0749927326482874,0.0750846354166666
251,251,32,0.0029286445646252,0.0519611983958579,0.0977213541666666
252,252,32,0.0039810717055349,0.0245002716922189,0.1184244791666666
253,253,32,0.0054116952654646,0.0193750991707766,0.1861197916666666
254,254,32,0.0073564225445964,0.0115194948843141,0.1500390625
255,255,32,0.01,0.0155103084689077,0.1144531249999999
