,Size,Error,Amp,Bias
218,8,0.002154434690031882,0.26218921673080375,-0.030475260416666664
219,8,0.0029286445646252374,0.18567847484293873,-0.01656901041666666
220,8,0.003981071705534973,0.15638670389708698,0.024127604166666667
221,8,0.0054116952654646375,0.10017514555151502,-0.020501302083333336
222,8,0.007356422544596414,0.057515008549112547,0.007714843750000002
223,8,0.01,0.024867127163524044,0.035657552083333335
224,16,0.0001,0.4736867927172513,0.017753906250000003
225,16,0.00013593563908785255,0.46949625823458885,0.040240885416666664
226,16,0.00018478497974222906,0.4634760827563807,-0.05899739583333332
227,16,0.00025118864315095795,0.44312260628884226,-0.04334635416666666
228,16,0.0003414548873833601,0.40898126939156193,-0.03319010416666666
229,16,0.00046415888336127773,0.39208751907905065,-0.02154947916666667
230,16,0.000630957344480193,0.35798071756561467,-0.0013411458333333322
231,16,0.0008576958985908946,0.3373921521563807,0.022740885416666662
232,16,0.0011659144011798312,0.2838994742597483,-0.03577473958333333
233,16,0.001584893192461114,0.21929547972774927,-0.0341015625
234,16,0.002154434690031882,0.1694105712920265,0.03108072916666667
235,16,0.0029286445646252374,0.1205863401651575,-0.004361979166666663
236,16,0.003981071705534973,0.06160698656894765,0.014921875
237,16,0.0054116952654646375,0.028956431218927867,0.14944010416666664
238,16,0.007356422544596414,0.011216889863099553,0.13484374999999998
239,16,0.01,0.00454462310116004,0.10817708333333334
240,32,0.0001,0.46565584195726883,-0.047747395833333345
241,32,0.00013593563908785255,0.4348921373338852,-0.028417968749999994
242,32,0.00018478497974222906,0.41810497077651537,-0.014863281249999992
243,32,0.00025118864315095795,0.3989603580325335,0.02973307291666668
244,32,0.0003414548873833601,0.35424793156463,0.010279947916666674
245,32,0.00046415888336127773,0.33049170086273094,-0.01876302083333333
246,32,0.000630957344480193,0.2970784017670465,0.01135416666666667
247,32,0.0008576958985908946,0.25561256462196935,-0.017584635416666664
248,32,0.0011659144011798312,0.18806408702535912,-0.014374999999999999
249,32,0.001584893192461114,0.108468761015988,0.09780598958333334
250,32,0.002154434690031882,0.08320255838818341,0.0380859375
251,32,0.0029286445646252374,0.04931464896277349,0.20697265625
252,32,0.003981071705534973,0.023905180661026582,0.06580729166666666
253,32,0.0054116952654646375,0.008470557563303461,0.14412760416666665
254,32,0.007356422544596414,0.004449764874117617,0.13151692708333332
255,32,0.01,0.005009681211813317,0.10953125000000001
