Size,Error,Amp,Bias
4,0.000630957344480193,0.43152426003111355,-0.012096354166666653
4,0.0008576958985908946,0.4122630437657696,-0.02686848958333333
4,0.0011659144011798312,0.38393843494637087,-0.04080729166666666
4,0.001584893192461114,0.35433240832978075,0.004544270833333331
4,0.002154434690031882,0.30553233380827893,-0.02173177083333333
4,0.0029286445646252374,0.2593881820848298,-0.021406249999999998
4,0.003981071705534973,0.18491632727852578,0.018665364583333333
4,0.0054116952654646375,0.15706422990431826,-0.060950520833333334
4,0.007356422544596414,0.09986414248673738,-0.00027994791666666446
4,0.01,0.046364540702582786,-0.009153645833333333
8,0.0001,0.4820206434584205,-0.025664062499999994
8,0.00013593563908785255,0.4773196787885254,-0.011471354166666642
8,0.00018478497974222906,0.4737553611452385,0.005787760416666686
8,0.00025118864315095795,0.4454283661331221,0.009615885416666678
8,0.0003414548873833601,0.44801210476226594,-0.01356119791666665
8,0.00046415888336127773,0.42024288859416686,0.00963541666666667
8,0.000630957344480193,0.4062332357373499,-0.02718098958333333
8,0.0008576958985908946,0.3879247575178449,-0.02536458333333333
8,0.0011659144011798312,0.3461633345297749,-0.017916666666666668
8,0.001584893192461114,0.3048321476539645,-0.005859374999999994
8,0.002154434690031882,0.2543536526312771,0.012571614583333343
8,0.0029286445646252374,0.1892237568720755,-0.024082031249999997
8,0.003981071705534973,0.14459822081944051,-0.0036132812499999984
8,0.0054116952654646375,0.10716757292518508,0.05574869791666666
8,0.007356422544596414,0.037716268251525374,0.0373828125
8,0.01,0.01357797836217313,0.09120442708333333
16,0.0001,0.47144178873314235,0.0039453125000000104
16,0.00013593563908785255,0.46524148471612853,0.00400390624999999
16,0.00018478497974222906,0.45417072212263015,0.02098958333333334
16,0.00025118864315095795,0.4425191380524284,-0.08347005208333333
16,0.0003414548873833601,0.41414415952512174,-0.028079427083333323
16,0.00046415888336127773,0.4017954047722576,-0.015175781249999982
16,0.000630957344480193,0.3607076768755411,-0.04494140624999998
16,0.0008576958985908946,0.32699449193154484,0.008268229166666675
16,0.0011659144011798312,0.28075791013903184,0.00654296875000001
16,0.001584893192461114,0.21491931626007574,0.00891927083333334
16,0.002154434690031882,0.16657388575531115,0.007207031250000001
16,0.0029286445646252374,0.11801094757806793,0.021738281249999998
16,0.003981071705534973,0.06667890597006586,0.03501302083333334
16,0.0054116952654646375,0.0394588178698271,0.09126953125
16,0.007356422544596414,0.015591408475925467,0.08286458333333332
16,0.01,0.01903652197429137,0.08675130208333333
32,0.0001,0.4488987111593391,-0.04726562499999999
32,0.00013593563908785255,0.43363455535096984,-0.05639322916666666
32,0.00018478497974222906,0.42815466931785734,0.01031901041666667
32,0.00025118864315095795,0.4065914007324397,-0.012057291666666674
32,0.0003414548873833601,0.38546931842463156,-0.010533854166666665
32,0.00046415888336127773,0.32937223538639365,-0.007942708333333328
32,0.000630957344480193,0.28322057133523626,-0.012584635416666663
32,0.0008576958985908946,0.26964287263956394,-0.0207421875
32,0.0011659144011798312,0.1946113360946268,-0.00041015624999999516
32,0.001584893192461114,0.1247675370380561,0.05569010416666667
32,0.002154434690031882,0.09252662867785355,0.005833333333333336
32,0.0029286445646252374,0.04289090355203729,0.07373046875
32,0.003981071705534973,0.01921956412104439,0.042578124999999994
32,0.0054116952654646375,0.0059431404804927345,0.12862630208333334
32,0.007356422544596414,0.007977498683720077,0.13819010416666666
32,0.01,0.0067778537264497835,0.11471354166666667
4,0.0001,0.4668328846482039,-0.0077408854166666746
4,0.00013593563908785255,0.48341374405161625,0.005917968750000016
4,0.00018478497974222906,0.4696801214544341,-0.03778645833333333
4,0.00025118864315095795,0.4665459982728947,0.00833333333333335
4,0.0003414548873833601,0.44501194187860454,-0.02818359375
4,0.00046415888336127773,0.4621651759015774,-0.009824218749999992
4,0.000630957344480193,0.4396981966500365,-2.6041666666655125e-05
4,0.0008576958985908946,0.4126111738514168,-0.02048177083333333
4,0.0011659144011798312,0.3788312641853716,-0.015188802083333331
