,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
415,0.0,7.0,4.0,96.0,0.0355243472850192,0.6146102366375066,62.0,0.09384918212890625,0.96875
416,0.0,7.0,5.0,120.0,0.02412758449510501,0.6751492542998824,63.0,0.08803176879882812,0.96875
417,0.0,7.0,5.0,120.0,0.020688480350665138,0.6686317301239615,78.0,0.106689453125,0.96875
418,0.0,7.0,5.0,120.0,0.022245521239606693,0.6674207158611963,87.0,0.11068344116210938,0.75
419,0.0,7.0,5.0,120.0,0.03721658482804928,0.6641948242982444,80.0,0.09976959228515625,0.90625
420,0.0,7.0,5.0,120.0,0.029008683501179557,0.6647108460853307,75.0,0.1083221435546875,0.90625
421,0.0,7.0,5.0,120.0,0.016924649134355797,0.6680734742672835,125.0,0.08766937255859375,0.9375
422,0.0,7.0,5.0,120.0,0.02163018096003154,0.6635226072683357,62.0,0.12331771850585938,0.84375
423,0.0,7.0,5.0,120.0,0.02398668884948692,0.6735478879406134,102.0,0.10002517700195312,0.875
424,0.0,7.0,6.0,144.0,0.010886106747314085,0.7097430248338508,70.0,0.10547637939453125,0.65625
425,0.0,7.0,6.0,144.0,0.023620142386176175,0.7058842985591279,50.0,0.16880035400390625,0.96875
426,0.0,7.0,6.0,144.0,0.008979869891681315,0.7092162159279939,67.0,0.13510894775390625,0.96875
427,0.0,7.0,6.0,144.0,0.025360072164511117,0.702131451150164,126.0,0.08484268188476562,0.9375
428,0.0,7.0,6.0,144.0,0.014007201784642802,0.7112459696825806,107.0,0.09776687622070312,0.96875
429,0.0,7.0,6.0,144.0,0.018842512462232813,0.7044235669071836,108.0,0.1096649169921875,0.875
430,0.0,7.0,6.0,144.0,0.013828548466340188,0.7115009748686043,102.0,0.10788726806640625,0.78125
431,0.0,7.0,6.0,144.0,0.00755140672025085,0.7055105535556064,97.0,0.09813690185546875,0.75
432,0.0,7.0,7.0,168.0,0.012316903161921291,0.7411886167260857,68.0,0.13115692138671875,0.75
433,0.0,7.0,7.0,168.0,0.018247820068835807,0.7429614079199005,152.0,0.08619308471679688,0.875
434,0.0,7.0,7.0,168.0,0.007532021182622262,0.7415564867747632,62.0,0.09490585327148438,0.96875
435,0.0,7.0,7.0,168.0,0.006172740254335533,0.7380682926239776,66.0,0.12382888793945312,0.78125
436,0.0,7.0,7.0,168.0,0.011064581201129204,0.7400808244959197,61.0,0.10448837280273438,0.875
437,0.0,7.0,7.0,168.0,0.013093472900211085,0.7397894577735322,123.0,0.10800933837890625,0.9375
438,0.0,7.0,7.0,168.0,0.007817036140915667,0.742654759792394,65.0,0.13296127319335938,0.84375
439,0.0,7.0,7.0,168.0,0.0073079675933155,0.745230755612295,71.0,0.10045242309570312,0.96875
440,0.0,7.0,8.0,192.0,0.01268353237813482,0.7697561537489234,72.0,0.11313247680664062,0.96875
441,0.0,7.0,8.0,192.0,0.017448542761644696,0.7672000185546913,63.0,0.11138153076171875,0.90625
442,0.0,7.0,8.0,192.0,0.021226974085085316,0.7634909585072402,65.0,0.0979156494140625,0.9375
443,0.0,7.0,8.0,192.0,0.0109695008583773,0.771141696244434,74.0,0.11166000366210938,0.71875
444,0.0,7.0,8.0,192.0,0.017825218423598188,0.7636206853622777,109.0,0.08694076538085938,0.9375
445,0.0,7.0,8.0,192.0,0.009086271720099402,0.7684250395133408,55.0,0.1522064208984375,0.84375
446,0.0,7.0,8.0,192.0,0.014827388289799445,0.7632261929875912,92.0,0.12659835815429688,0.96875
447,0.0,7.0,8.0,192.0,0.011230622034877272,0.7623507359710979,119.0,0.09093093872070312,0.96875
448,0.0,8.0,1.0,24.0,0.13107735592258182,0.31492799742697436,70.0,0.1294708251953125,0.84375
449,0.0,8.0,1.0,24.0,0.11835375540398116,0.3251353773837825,65.0,0.09864044189453125,0.9375
450,0.0,8.0,1.0,24.0,0.13609869643926376,0.31758725476738875,75.0,0.14890670776367188,0.875
451,0.0,8.0,1.0,24.0,0.11714996697215053,0.3187067601103219,202.0,0.09484481811523438,0.90625
452,0.0,8.0,1.0,24.0,0.13801035305859133,0.32141411675529785,192.0,0.1322021484375,0.875
453,0.0,8.0,1.0,24.0,0.14283359115999644,0.3087773602430558,86.0,0.08295822143554688,0.96875
454,0.0,8.0,1.0,24.0,0.1580773102379048,0.3206261178615661,106.0,0.1046905517578125,0.84375
