,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
726,0.0,12.0,3.0,60.0,0.030850954446148687,0.7383847913148052,129.0,0.10386276245117188,0.96875
727,0.0,12.0,3.0,60.0,0.02704854684421678,0.7363428992764004,185.0,0.10683059692382812,0.90625
728,0.0,12.0,4.0,80.0,0.0166221839186396,0.793116774078181,62.0,0.12883758544921875,0.921875
729,0.0,12.0,4.0,80.0,0.010706646083111136,0.8011652496589894,113.0,0.11502838134765625,0.90625
730,0.0,12.0,4.0,80.0,0.009938532343831068,0.8015147534378938,70.0,0.11381149291992188,0.703125
731,0.0,12.0,4.0,80.0,0.01146113490607445,0.7972470680644594,160.0,0.12218475341796875,0.859375
732,0.0,12.0,4.0,80.0,0.010776794036832758,0.8039702379496005,51.0,0.18626785278320312,0.703125
733,0.0,12.0,4.0,80.0,0.013415719604429823,0.7970686849038778,126.0,0.07057571411132812,0.53125
734,0.0,12.0,4.0,80.0,0.014551952206039762,0.8029706396447444,79.0,0.13556289672851562,0.875
735,0.0,12.0,4.0,80.0,0.024183483514123166,0.7988391471280667,92.0,0.1461334228515625,0.921875
736,0.0,12.0,5.0,100.0,0.006861240145268791,0.8400032535539093,50.0,0.14751434326171875,0.890625
737,0.0,12.0,5.0,100.0,0.004021950411979124,0.8378183364119058,49.0,0.1378936767578125,0.84375
738,0.0,12.0,5.0,100.0,0.00515156495007525,0.8410918583086234,75.0,0.13385009765625,0.4375
739,0.0,12.0,5.0,100.0,0.004342613036192241,0.8395484409808535,62.0,0.12704086303710938,0.5625
740,0.0,12.0,5.0,100.0,0.008793513423168893,0.8393018172887783,67.0,0.14606857299804688,0.625
741,0.0,12.0,5.0,100.0,0.005181732248754174,0.8403863929163063,83.0,0.11766815185546875,0.875
742,0.0,12.0,5.0,100.0,0.005241309563903981,0.843963019462433,65.0,0.1423492431640625,0.875
743,0.0,12.0,5.0,100.0,0.007024133250334448,0.8384688573275304,183.0,0.11871337890625,0.875
744,0.0,12.0,6.0,120.0,0.008013882639178307,0.8674865324099661,69.0,0.14050674438476562,0.65625
745,0.0,12.0,6.0,120.0,0.006054393951323643,0.8697383403938708,69.0,0.17457962036132812,0.828125
746,0.0,12.0,6.0,120.0,0.008263588060519033,0.8723794521027812,43.0,0.14729690551757812,0.953125
747,0.0,12.0,6.0,120.0,0.007338048569954601,0.868875506481555,108.0,0.13654708862304688,0.34375
748,0.0,12.0,6.0,120.0,0.0026367771961053055,0.8704063033428252,82.0,0.1295318603515625,0.375
749,0.0,12.0,6.0,120.0,0.00952777465439536,0.8686958160505834,93.0,0.12412643432617188,0.71875
750,0.0,12.0,6.0,120.0,0.008250758544814761,0.8717778930525225,41.0,0.16803741455078125,0.359375
751,0.0,12.0,6.0,120.0,0.005926502293654174,0.8681818278802841,93.0,0.11266708374023438,0.5625
752,0.0,12.0,7.0,140.0,0.007190473277588266,0.8913109268854508,72.0,0.13398361206054688,0.71875
753,0.0,12.0,7.0,140.0,0.0031694507311245635,0.8928759966281867,83.0,0.1407928466796875,0.890625
754,0.0,12.0,7.0,140.0,0.004323532489904761,0.8934258864746732,97.0,0.1242218017578125,0.390625
755,0.0,12.0,7.0,140.0,0.005406174207936721,0.8930774030594252,71.0,0.14905548095703125,0.90625
756,0.0,12.0,7.0,140.0,0.0043878232753054615,0.8894150010827591,81.0,0.11296844482421875,0.90625
757,0.0,12.0,7.0,140.0,0.00985631435408476,0.8906739465721039,112.0,0.10560226440429688,0.609375
758,0.0,12.0,7.0,140.0,0.0025539256015265823,0.89310093159749,61.0,0.13562774658203125,0.90625
759,0.0,12.0,7.0,140.0,0.008521773264712876,0.8934852380959644,63.0,0.13397216796875,0.75
760,0.0,12.0,8.0,160.0,0.008818174845192494,0.9068270643893385,81.0,0.15024948120117188,0.5625
761,0.0,12.0,8.0,160.0,0.006773724635148073,0.908856909087325,147.0,0.10528945922851562,0.890625
762,0.0,12.0,8.0,160.0,0.004094389353371229,0.9091027474657866,96.0,0.15100860595703125,0.890625
763,0.0,12.0,8.0,160.0,0.0026671860602264156,0.9086066152595179,86.0,0.11832427978515625,0.859375
764,0.0,12.0,8.0,160.0,0.007147883070830859,0.9058969936713792,105.0,0.11275863647460938,0.875
765,0.0,12.0,8.0,160.0,0.0055425008699089735,0.9077957089708277,91.0,0.12519073486328125,0.921875
766,0.0,12.0,8.0,160.0,0.004856729581303821,0.9050786419512208,72.0,0.14107894897460938,0.9375
767,0.0,12.0,8.0,160.0,0.005463864435456829,0.9083612458566789,78.0,0.14512252807617188,0.5625
768,0.0,13.0,1.0,12.0,0.3613277362922782,0.21300220764689773,128.0,0.13688278198242188,0.90625
769,0.0,13.0,1.0,12.0,0.4232639538663857,0.21215973221218828,96.0,0.168304443359375,0.90625
770,0.0,13.0,1.0,12.0,0.2979460819393101,0.22115414577284337,97.0,0.17040252685546875,0.875
771,0.0,13.0,1.0,12.0,0.2521770008603371,0.2231369112557319,145.0,0.19749069213867188,0.828125
772,0.0,13.0,1.0,12.0,0.34733724767676866,0.21798849428712777,106.0,0.16318893432617188,0.953125
773,0.0,13.0,1.0,12.0,0.36395940437888397,0.22162162958601644,51.0,0.14059066772460938,0.953125
774,0.0,13.0,1.0,12.0,0.2100879349933011,0.22011800800545825,89.0,0.13187026977539062,0.921875
775,0.0,13.0,1.0,12.0,0.2996100354875154,0.2243232099849839,88.0,0.12352371215820312,0.875
776,0.0,13.0,2.0,24.0,0.14604347034431361,0.40899430029403033,57.0,0.162384033203125,0.921875
777,0.0,13.0,2.0,24.0,0.10426904333808586,0.40760755428550405,100.0,0.1416015625,0.9375
778,0.0,13.0,2.0,24.0,0.11832907973058407,0.4105009474302216,97.0,0.170562744140625,0.90625
779,0.0,13.0,2.0,24.0,0.10336764697226039,0.398304975559047,51.0,0.17760467529296875,0.90625
780,0.0,13.0,2.0,24.0,0.11839001288344352,0.4089082339772738,96.0,0.14674758911132812,0.953125
781,0.0,13.0,2.0,24.0,0.14728667862475409,0.39816158500619864,87.0,0.13885879516601562,0.90625
782,0.0,13.0,2.0,24.0,0.1279794412740749,0.4083460535121513,55.0,0.16372299194335938,0.921875
783,0.0,13.0,2.0,24.0,0.09916587241271899,0.3984606232441992,70.0,0.22193145751953125,0.921875
784,0.0,13.0,3.0,36.0,0.09965061929669208,0.5397218730526973,82.0,0.1364898681640625,0.9375
785,0.0,13.0,3.0,36.0,0.04581579236751925,0.5324969489578708,139.0,0.12412261962890625,0.9375
786,0.0,13.0,3.0,36.0,0.04465725558647557,0.5345835058758027,69.0,0.114044189453125,0.9375
787,0.0,13.0,3.0,36.0,0.0584240080907035,0.5457900628216509,55.0,0.14091110229492188,0.9375
788,0.0,13.0,3.0,36.0,0.05994195328314641,0.5330774404813761,76.0,0.1706085205078125,0.90625
789,0.0,13.0,3.0,36.0,0.05601605194526592,0.5399533098125507,106.0,0.11097335815429688,0.9375
790,0.0,13.0,3.0,36.0,0.04945400770283084,0.5359121857640947,133.0,0.15016555786132812,0.90625
791,0.0,13.0,3.0,36.0,0.04876202520969225,0.5363823820951352,96.0,0.1374053955078125,0.921875
792,0.0,13.0,4.0,48.0,0.02688332262372612,0.638465415165772,96.0,0.13800430297851562,0.921875
793,0.0,13.0,4.0,48.0,0.044993138896432056,0.6412499627313741,59.0,0.1553497314453125,0.90625
794,0.0,13.0,4.0,48.0,0.04825423550809663,0.6380298777797591,120.0,0.15906906127929688,0.9375
795,0.0,13.0,4.0,48.0,0.03727802939884107,0.6338604937095853,106.0,0.12157440185546875,0.9375
796,0.0,13.0,4.0,48.0,0.043803491031744274,0.6407617525897706,47.0,0.13159561157226562,0.96875
797,0.0,13.0,4.0,48.0,0.051381621920135206,0.6294802783065111,112.0,0.14116668701171875,0.9375
